name,nationality,current_club,clubs
Alisson,"Novo Hamburgo, Brazil",Liverpool,"['Sport Club Internacional', '2014 Campeonato Brasileiro Série A', '2015 Campeonato Brasileiro Série A', '2016 Campeonato Brasileiro Série A', 'A.S. Roma', 'Liverpool F.C.']"
David de Gea,"Madrid, Spain",Manchester United,"['Atlético Madrid B', 'Atlético Madrid', 'Manchester United F.C.']"
Ederson,"Osasco, Brazil",Manchester City,"['G.D. Ribeirão', 'Rio Ave F.C.', '2013–14 Primeira Liga', '2014–15 Primeira Liga', 'S.L. Benfica B', 'S.L. Benfica', 'Manchester City F.C.']"
Jan Oblak,"Škofja Loka, Slovenia",Atlético Madrid,"['NK Olimpija Ljubljana (2005)', '2009–10 Slovenian PrvaLiga', 'S.L. Benfica', 'S.C. Beira-Mar', 'S.C. Olhanense', 'U.D. Leiria', 'Rio Ave F.C.', 'Atlético Madrid']"
Marc-André ter Stegen,"Mönchengladbach, Germany",Barcelona,"['Borussia Mönchengladbach', 'FC Barcelona']"
Jordi Alba,"L'Hospitalet, Spain",Barcelona,"['Gimnàstic de Tarragona', 'Valencia CF', '2010–11 La Liga', '2011–12 La Liga', 'FC Barcelona']"
Trent Alexander-Arnold,"Liverpool, England",Liverpool,['Liverpool F.C.']
Dani Alves,"Juazeiro, Bahia, Brazil",São Paulo,"['Esporte Clube Bahia', '2002 Campeonato Brasileiro Série A', 'Sevilla FC', '2003–04 La Liga', '2004–05 La Liga', '2005–06 La Liga', '2006–07 La Liga', '2007–08 La Liga', 'FC Barcelona', 'Juventus F.C.', 'Paris Saint-Germain F.C.', 'São Paulo FC']"
João Cancelo,"Barreiro, Portugal",Manchester City,"['S.L. Benfica B', '2013–14 Segunda Liga', 'S.L. Benfica', 'Valencia CF', 'Inter Milan', 'Juventus F.C.', 'Manchester City F.C.']"
Dani Carvajal,"Leganés, Spain",Real Madrid,"['Real Madrid Castilla', '2011–12 Segunda División B', 'Bayer 04 Leverkusen', 'Real Madrid CF']"
Giorgio Chiellini,"Pisa, Italy",Juventus,"['A.S. Livorno Calcio', '2001–02 Serie C1 (page does not exist)', '2002–03 Serie B', '2003–04 Serie B', 'ACF Fiorentina', 'Juventus F.C.']"
Matthijs de Ligt,"Leiderdorp, Netherlands",Juventus,"['Jong Ajax', 'AFC Ajax', 'Juventus F.C.']"
Diego Godín,"Rosario, Uruguay",Inter Milan,"['C.A. Cerro', '2004 Uruguayan Primera División', '2005 Uruguayan Primera División', '2005–06 Uruguayan Primera División', 'Club Nacional de Football', 'Villarreal CF', '2008–09 La Liga', '2009–10 La Liga', 'Atlético Madrid', '2011–12 La Liga', '2012–13 La Liga', '2013–14 La Liga', '2014–15 La Liga', '2015–16 La Liga', '2016–17 La Liga', '2017–18 La Liga', '2018–19 La Liga', 'Inter Milan']"
Joshua Kimmich,"Rottweil, Germany",Bayern Munich,"['RB Leipzig', 'FC Bayern Munich']"
Kalidou Koulibaly,"Saint-Dié-des-Vosges, France",Napoli,"['FC Metz', '2010–11 Championnat de France Amateur', 'FC Metz', '2011–12 Ligue 2', 'K.R.C. Genk', '2013–14 Belgian Pro League', 'S.S.C. Napoli']"
Aymeric Laporte,"Agen, France",Manchester City,"['CD Basconia', 'Bilbao Athletic', 'Athletic Bilbao', 'Manchester City F.C.']"
Marcelo,"Rio de Janeiro, Brazil",Real Madrid,"['Fluminense Football Club', '2006 Campeonato Brasileiro Série A', 'Real Madrid CF']"
Gerard Piqué,"Barcelona, Spain",Barcelona,"['Manchester United F.C.', 'Real Zaragoza', 'FC Barcelona']"
Sergio Ramos,"Camas, Spain",Real Madrid,"['Sevilla Atlético', 'Sevilla FC', '2004–05 La Liga', '2005–06 La Liga', 'Real Madrid CF', '2006–07 La Liga', '2007–08 La Liga', '2008–09 La Liga', '2009–10 La Liga', '2010–11 La Liga', '2011–12 La Liga', '2012–13 La Liga', '2013–14 La Liga', '2014–15 La Liga', '2015–16 La Liga', '2016–17 La Liga', '2017–18 La Liga', '2018–19 La Liga']"
Andrew Robertson,"Glasgow, Scotland",Liverpool,"[""Queen's Park F.C."", 'Dundee United F.C.', 'Hull City A.F.C.', 'Liverpool F.C.']"
Alex Sandro,"Catanduva, Brazil",Juventus,"['Clube Atlético Paranaense', '2009 Campeonato Brasileiro Série A', 'Santos FC', 'FC Porto', '2012–13 Primeira Liga', '2013–14 Primeira Liga', '2014–15 Primeira Liga', '2015–16 Primeira Liga', 'Juventus F.C.']"
Thiago Silva,"Rio de Janeiro, Brazil",Paris Saint-Germain,"['Esporte Clube Juventude', 'FC Porto', 'FC Dynamo Moscow', 'Fluminense Football Club', '2007 Campeonato Brasileiro Série A', '2008 Campeonato Brasileiro Série A', 'A.C. Milan', '2010–11 Serie A', '2011–12 Serie A', 'Paris Saint-Germain F.C.', '2013–14 Ligue 1', '2014–15 Ligue 1', '2015–16 Ligue 1', '2016–17 Ligue 1', '2017–18 Ligue 1', '2018–19 Ligue 1']"
Virgil van Dijk,"Breda, Netherlands",Liverpool,"['FC Groningen', '2011–12 Eredivisie', '2012–13 Eredivisie', 'Celtic F.C.', 'Southampton F.C.', 'Liverpool F.C.']"
Raphaël Varane,"Lille, France",Real Madrid,"['RC Lens', 'Real Madrid CF', '2012–13 La Liga', '2013–14 La Liga', '2014–15 La Liga', '2015–16 La Liga', '2016–17 La Liga', '2017–18 La Liga', '2018–19 La Liga']"
Sergio Busquets,"Sabadell, Spain",Barcelona,"['FC Barcelona B', '2008–09 Segunda División B', 'FC Barcelona']"
Kevin De Bruyne,"Drongen, Ghent, Belgium[3]",Manchester City,"['K.R.C. Genk', '2009–10 Belgian Pro League', '2010–11 Belgian Pro League', '2011–12 Belgian Pro League', 'SV Werder Bremen', 'Chelsea F.C.', 'VfL Wolfsburg', 'Manchester City F.C.']"
Frenkie de Jong,"Gorinchem, Netherlands",Barcelona,"['Willem II (football club)', '2015–16 Eredivisie', 'Jong Ajax', '2016–17 Eerste Divisie', 'AFC Ajax', 'FC Barcelona']"
Christian Eriksen,"Middelfart, Denmark",Tottenham Hotspur,"['AFC Ajax', 'Tottenham Hotspur F.C.']"
Eden Hazard,"La Louvière, Belgium",Real Madrid,"['Lille OSC', '2008–09 Ligue 1', '2009–10 Ligue 1', 'Chelsea F.C.', 'Real Madrid CF']"
N'Golo Kanté,"Paris, France",Chelsea,"['US Boulogne', '2012–13 Championnat National', 'Stade Malherbe Caen', '2014–15 Ligue 1', 'Leicester City F.C.', 'Chelsea F.C.']"
Toni Kroos,"Greifswald, East Germany",Real Madrid,"['FC Bayern Munich II', 'FC Bayern Munich', 'Bayer 04 Leverkusen', '2009–10 Bundesliga', 'FC Bayern Munich', 'Real Madrid CF']"
Arthur Melo,"Goiânia, Brazil",Barcelona,"['Grêmio Foot-Ball Porto Alegrense', '2018 Campeonato Brasileiro Série A', 'FC Barcelona']"
Luka Modrić,"Zadar, SR Croatia, SFR Yugoslavia",Real Madrid,"['HŠK Zrinjski Mostar', '2003–04 Premier League of Bosnia and Herzegovina', 'NK Inter Zaprešić', '2004–05 Prva HNL', 'NK Dinamo Zagreb', '2004–05 Croatian First Football League', '2005–06 Croatian First Football League', '2006–07 Croatian First Football League', '2007-08 Croatian First Football League', 'Tottenham Hotspur F.C.', '2008-09 Premier League', '2009-10 Premier League', '2010-11 Premier League', '2011-12 Premier League', 'Real Madrid CF', '2012–13 La Liga', '2013–14 La Liga', '2014–15 La Liga', '2015–16 La Liga', '2016–17 La Liga', '2017–18 La Liga', '2018–19 La Liga']"
Ivan Rakitić,"Rheinfelden, Switzerland[2]",Barcelona,"['FC Basel', 'FC Schalke 04', '2008–09 Bundesliga', '2009–10 Bundesliga', '2010–11 Bundesliga', 'Sevilla FC', 'FC Barcelona']"
Dušan Tadić,"Bačka Topola, SFR Yugoslavia",Ajax,"['FK Vojvodina', '2007–08 Serbian SuperLiga', '2008–09 Serbian SuperLiga', '2009–10 Serbian SuperLiga', 'FC Groningen', '2011–12 Eredivisie', 'FC Twente', '2013–14 Eredivisie', 'Southampton F.C.', 'AFC Ajax']"
Sergio Agüero,"Buenos Aires,[3] Argentina",Manchester City,"['Club Atlético Independiente', '2003–04 Argentine Primera División', '2004–05 Primera División Argentina', '2005–06 Argentine Primera División', 'Atlético Madrid', 'Manchester City F.C.']"
Cristiano Ronaldo,"Funchal, Madeira, Portugal",Juventus,"['Sporting CP B', 'Sporting CP', 'Manchester United F.C.', 'Real Madrid CF', 'Juventus F.C.']"
Roberto Firmino,"Maceió, Brazil[2]",Liverpool,"['Figueirense Futebol Clube', '2010 Campeonato Brasileiro Série B', 'TSG 1899 Hoffenheim', '2013–14 Bundesliga', 'Liverpool F.C.']"
Antoine Griezmann,"Mâcon, France",Barcelona,"['Real Sociedad', '2010–11 La Liga', '2011–12 La Liga', '2012–13 La Liga', '2013–14 La Liga', 'Atlético Madrid', 'FC Barcelona']"
Son Heung-min,"Chuncheon, Gangwon, South Korea",Tottenham Hotspur,"['Hamburger SV II', 'Hamburger SV', 'Bayer 04 Leverkusen', 'Tottenham Hotspur F.C.']"
Harry KaneMBE,"Walthamstow, London, England",Tottenham Hotspur,"['Tottenham Hotspur F.C.', 'Leyton Orient F.C.', 'Millwall F.C.', 'Norwich City F.C.', 'Leicester City F.C.']"
Robert Lewandowski,"Warsaw, Poland",Bayern Munich,"['Znicz Pruszków', '2007–08 Polish Second League', 'Lech Poznań', '2009–10 Ekstraklasa', 'Borussia Dortmund', 'FC Bayern Munich']"
Lionel Messi,"Rosario, Argentina",Barcelona,"['FC Barcelona C', 'FC Barcelona B', '2004–05 Segunda División B', 'FC Barcelona']"
Raheem Sterling,"Kingston, Jamaica",Manchester City,"['Liverpool F.C.', 'Manchester City F.C.']"
Luis Suárez,"Salto, Uruguay",Barcelona,"['Club Nacional de Football', 'FC Groningen', 'AFC Ajax', 'Liverpool F.C.', 'FC Barcelona']"
